congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
112,Senate,1,2011-01-26,1,1,97,0,0.0,0.0,0.0,0.0,0.0,SRES14,Resolution Agreed to,"A resolution honoring the victims and heroes of the shooting on January 8, 2011 in Tucson, Arizona.",On the Resolution,
112,Senate,2,2011-01-27,1,2,92,4,0.769,-0.11,0.554,-1.35,-4.721,SRES28,Resolution Agreed to,A resolution to establish as a standing order of the Senate that a Senator publicly disclose a notice of intent to objecting to any measure or matter.,On the Resolution,
112,Senate,3,2011-01-27,1,3,81,15,0.53,-0.14,1.21,0.283,-16.082,SRES29,Resolution Agreed to,A resolution to permit the waiving of the reading of an amendment if the text and adequate notice are provided.,On the Resolution,
112,Senate,4,2011-01-27,1,4,12,84,-0.505,-0.484,1.423,2.217,-25.375,SRES8,Resolution Rejected,A resolution amending the Standing Rules of the Senate to provide for cloture to be invoked with less than a three-fifths majority after additional debate.,On the Resolution,
112,Senate,5,2011-01-27,1,5,44,51,-0.138,-0.313,0.253,-0.157,-18.455,SRES10,Resolution Rejected,A resolution to improve the debate and consideration of legislative matters and nominations in the Senate.,On the Resolution,
112,Senate,6,2011-01-27,1,6,46,49,-0.082,-0.996,1.328,-0.239,-15.699,SRES21,Resolution Rejected,A resolution to amend the Standing Rules of the Senate to provide procedures for extended debate.,On the Resolution,
112,Senate,7,2011-02-02,1,7,44,54,-0.081,-0.23,0.996,1.094,-13.71,S223,Amendment Rejected,"To repeal the expansion of information reporting requirements under the Patient Protection and Affordable Care Act, and for other purposes.",On the Amendment,
112,Senate,8,2011-02-02,1,8,81,17,-0.41,0.323,-1.33,-0.379,-26.749,S223,Motion Agreed to,"To repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",On the Motion,
112,Senate,9,2011-02-02,1,9,47,52,0.03,-0.048,-0.652,0.788,-0.239,S223,Motion Rejected,To repeal the job-killing health care law and health care-related provisions in the Health Care and Education Reconciliation Act of 2010.,On the Motion,
112,Senate,10,2011-02-03,1,10,96,1,0.0,0.0,0.0,0.0,0.0,S223,Amendment Agreed to,"To amend title 18, United States Code, to provide penalties for aiming laser pointers at airplanes, and for other purposes.",On the Amendment,
