icpsr,state_abbrev,bioguide_id,party,last_name,first_name,cid,feccandid,alt_first_name
49700,AL,S001141,R,Sessions,Jefferson,N00003062,S6AL00195,Jeff
94659,AL,S000320,R,Shelby,Richard,N00009920,S6AL00013,Richard
40300,AK,M001153,R,Murkowski,Lisa,N00026050,S4AK00099,Lisa
40900,AK,B001265,D,Begich,Mark,N00029901,S8AK00090,Mark
15039,AZ,M000303,R,Mccain,John,N00006424,S6AZ00019,John
20100,AZ,F000444,R,Flake,Jeff,N00009573,S2AZ00141,Jeff
20101,AR,B001236,R,Boozman,John,N00013873,S0AR00150,John
40301,AR,P000590,D,Pryor,Mark,N00013823,S0AR00028,Mark
15011,CA,B000711,D,Boxer,Barbara,N00006692,S2CA00286,Barbara
49300,CA,F000062,D,Feinstein,Dianne,N00007364,S0CA00199,Dianne
29906,CO,U000038,D,Udall,Mark,N00008051,S8CO00172,Mark
40910,CO,B001267,D,Bennet,Michael,N00030608,S0CO00211,Michael
20707,CT,M001169,D,Murphy,Christopher,N00027566,S2CT00132,Christopher
41101,CT,B001277,D,Blumenthal,Richard,N00031685,S0CT00177,Richard
15015,DE,C000174,D,Carper,Thomas,N00012508,S8DE00079,Tom
40916,DE,C001088,D,Coons,Christopher,N00031820,S0DE00092,Chris
14651,FL,N000032,D,Nelson,Clarence,N00009926,S8FL00166,Bill
41102,FL,R000595,R,Rubio,Marco,N00030612,S0FL00338,Marco
29512,GA,C000286,R,Chambliss,Saxby,N00002685,S2GA00118,Saxby
29909,GA,I000055,R,Isakson,Johnny,N00002593,S6GA00119,Johnny
20713,HI,H001042,D,Hirono,Mazie,N00028139,S2HI00106,Mazie
41112,HI,S001194,D,Schatz,Brian,N00028138,S4HI00136,Brian
29345,ID,C000880,R,Crapo,Michael,N00006267,S8ID00027,Mike
40902,ID,R000584,R,Risch,James,N00029441,S8ID00092,James
15021,IL,D000563,D,Durbin,Richard,N00004981,S6IL00151,Dick
20115,IL,K000360,R,Kirk,Mark,N00012539,S0IL00261,Mark
14806,IN,C000542,R,Coats,Daniel,N00003845,S0IN00053,Dan
20717,IN,D000607,D,Donnelly,Joe,N00026586,S2IN00091,Joe
